# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Fri Aug 23 11:02:49 CDT 2024 [seed=1724428969014]
# -beagle_sse aligned_SAT1.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(untitled0)	age(untitled0)	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
31000	-4110.185462678704	-121.80360917946933	-3988.381853499235	6.71382509240433	2010.0348087873772	60.188733082773226	6.71382509240433	2010.0348087873772	10.067926308359443	9.574539572873592	0.21206789201541393	0.31670892914458343	0.24684615839102877	0.22437702044897384	0.015652077504223517	0.015652077504223517	-3988.381853499235	0.0	-119.99038660005657
32000	-4108.269189248931	-119.37330083178125	-3988.89588841715	6.547030100906114	2010.2016037788753	58.747815029359366	6.547030100906114	2010.2016037788753	11.80367241428053	8.465571617611324	0.23983314304184672	0.28256262252370234	0.2538751100199966	0.22372912441445428	0.016614369428716923	0.016614369428716927	-3988.89588841715	0.0	-117.54254356984612
33000	-4119.098771435563	-123.0462727026013	-3996.0524987329622	6.993133496619021	2009.7555003831624	62.97800815142094	6.993133496619021	2009.7555003831624	14.92109040442983	8.747772176833857	0.23983314304184672	0.30984413019131096	0.2542853075988796	0.19603741916796263	0.013603782678938183	0.013603782678938185	-3996.0524987329622	0.0	-121.17821856318982
34000	-4117.39117933261	-123.7047508559772	-3993.6864284766325	7.815375492932343	2008.933258386849	65.71650871847793	7.815375492932343	2008.933258386849	13.60873662854005	9.959245831662068	0.24495846380145853	0.3161804025494504	0.24282371448112827	0.19603741916796263	0.015583211923787418	0.015583211923787418	-3993.6864284766325	0.0	-121.48267747538341
35000	-4117.83612454303	-124.23410924162008	-3993.602015301409	7.603946717992371	2009.144687161789	66.96761880932148	7.603946717992371	2009.144687161789	14.328203423407546	9.982516566949839	0.24495846380145853	0.29439075827403055	0.2551281688530354	0.20552260907147538	0.014199223427176054	0.014199223427176059	-3993.602015301409	0.0	-122.08536189654735
36000	-4113.168448075726	-123.9297644263977	-3989.238683649328	7.452234874696911	2009.2963990050846	67.11508581556767	7.452234874696911	2009.2963990050846	14.12809861770706	10.321912169145467	0.22390082622170235	0.33265198935317875	0.2479175524738297	0.195529631951289	0.01385785264782052	0.013857852647820522	-3989.238683649328	0.0	-121.7675396498199
37000	-4115.20199490022	-126.45362321414093	-3988.748371686079	9.482259578095027	2007.2663743016865	77.28336663596889	9.482259578095027	2007.2663743016865	17.952219148439987	9.8466299136412	0.23568718509345038	0.3208656304814307	0.2479175524738297	0.195529631951289	0.011320572391435076	0.01132057239143508	-3988.748371686079	0.0	-124.36536236385165
38000	-4117.332087983478	-127.26969234439761	-3990.0623956390805	7.492797624276674	2009.2558362555048	72.20915674992143	7.492797624276674	2009.2558362555048	14.243877083983069	9.8466299136412	0.23568718509345038	0.3320975635085992	0.22277221175268702	0.20944303964526317	0.011998272842676677	0.011998272842676674	-3990.0623956390805	0.0	-125.35829839502324
39000	-4120.996817239429	-126.10468250339892	-3994.8921347360306	7.825721105572154	2008.9229127742092	70.3264616785229	7.825721105572154	2008.9229127742092	12.5474442195673	9.09864735446619	0.23708393865399544	0.2957340314409448	0.2782163413127832	0.18896568859227636	0.013193927837807713	0.013193927837807708	-3994.8921347360306	0.0	-124.33998156810833
40000	-4121.942962833197	-126.76702079015641	-3995.175942043041	8.023975785407046	2008.7246580943745	72.01007751597767	8.023975785407046	2008.7246580943745	13.833232869748478	8.382321506974971	0.2067562035418801	0.32386154003506207	0.2782163413127832	0.19116591511027442	0.012062902716852964	0.012062902716852963	-3995.175942043041	0.0	-125.16388680449558
